stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
695,353,Benzi-Almirante,,40.375121,18.145836,
696,354,Giorgilorio,,40.385095,18.147917,
697,355,Casa Circondariale,,40.376816,18.156017,
698,356,SP133-Degli Amici,,40.464398,18.180801,
699,357,Rudiae-Ducas,,40.346886,18.160430,
700,358,Taranto-Di Valesio,,40.357637,18.165380,
701,359,Taranto-Monte Sei Busi,,40.358838,18.162016,
702,360,Taranto-Zimbalo,,40.360066,18.158539,
703,361,Taranto-Belloluogo,,40.361302,18.155095,
704,362,Taranto-Belloluogo,,40.361116,18.155318,
705,363, Taranto-Scardia,,40.362452,18.151883,
706,364, Taranto-Scardia,,40.362214,18.152241,
707,365,Borgo Pace,,40.363689,18.148069,
708,366,San Nicola-Sidoti,,40.364580,18.167250,
709,367,Lecce Frigole-Leone,,40.423941,18.236845,
711,369,Borgo Piave,,40.416093,18.217655,
712,370,Della Repubblica-Gidiuli,,40.358915,18.155518,
713,371,Della Repubblica-Gidiuli,,40.358633,18.155530,
714,372,Frigole,,40.426591,18.240201,
715,373,Della Repubblica-Birago,,40.355727,18.152694,
716,374,Lo Re,,40.348145,18.171960,
717,375,Della Repubblica-Birago,,40.355882,18.152620,
718,376,Mori-Lidi 1,,40.425932,18.255922,
719,377,P.zza S.M. Arcangelo,,40.357855,18.155339,
720,378,Bernardino,,40.357047,18.158349,
721,380,Mori-Lidi 2,,40.428765,18.253794,
722,381,Sozy Carafa,,40.355969,18.161227,
723,382,Pozzuolo-Reale,,40.354731,18.164598,
724,383,Mori-Lidi 3,,40.430247,18.252699,
725,384,Mori-Lidi 4,,40.431567,18.251422,
726,385,Zefiro-Dell'Erica,,40.461149,18.194999,
727,386,Zefiro-Dell'Erica,,40.460746,18.195078,
728,387,Zefiro-Del Melo,,40.463476,18.195078,
729,388,Pellegrino-Cavallo,,40.353997,18.147161,
730,389,Pellegrino-Cavallo,,40.354056,18.146211,
731,390,Zefiro-Del Melo,,40.463080,18.195162,
732,391,Zefiro-Delle Rose,,40.465768,18.195235,
733,392,Torre Chianca,,40.467652,18.193887,
734,393,T.Rinalda-Camping,,40.481661,18.147069,
735,394,Agricoltura-Ferrandina,,40.360061,18.105907,
736,395,Torre Rinalda,,40.480282,18.158694,
737,396,Torre Rinalda,,40.480274,18.158355,
738,397,SP133-Degli Amici,,40.464441,18.180916,
739,398,Pavarotti-Pizzetti,,40.364082,18.078479,
740,399,Pavarotti-Pizzetti,,40.364009,18.078517,
741,400,Pavarotti-Maestri del Lavoro,,40.364474,18.075843,
742,401,Pavarotti-Maestri del Lavoro,,40.364430,18.075578,
743,402,Villa Convento,,40.365613,18.069102,
744,403,Pavarotti-Delle Scienze,,40.365095,18.071181,
745,404,Case   Simini,,40.453534,18.209527,
746,405,Grassi-Rudiae,,40.344401,18.157281,
747,379,Columella,,40.332570,18.145745,
748,269,Ciardo - Pellegrino,,40.341598,18.155252,
